name,reviews
Alabama A & M University,"['Great experience with my son.  We saw a basketball game.  The security personnel for kind and informative. I wish the lines for the concession stands were more organized.  When the crowd is as large as it was (4th & 5th graders from at least 10 HCS), all concession stands should be open.', ""Of all the schools that I have attended both undergrad and grad this school has the worst Alumni Affairs office by far.  No follow-up.  From what I hear nobody complains because they don't care."", 'Omg it’s so amazing here I love the area very friendly and breathtaking!!!', ""I got a good sleep. The outside of the building looks good.  This was a horrible stay thr room AC was off it smelt like wet dog in the room, the carpets are old and stinky. The toilet did not flush you couldn't get in contact with anyone from front desk, thr voice recorded answering service would come on. No one in person at front desk. I stay here because usually when a hotel says by Wyndham its in pretty food condition but this was not the case. Overall just a horrible experience. I WILL DEFINITELY NOT BE STAYING HERE AGAIN🥴🥲😭"", ""My daughter's first year, she's loving it so far... So if she's happy so am I...""]"
University of Alabama at Birmingham,"[""Have never seen so many people with issues under one roof !  Everyone has  a story I talked to a few.  This part of UAB were adults I guess children go to another UAB building.  Everyone I came in contact with were very nice greeted with a smile this was my first trip my friend will have to go back he has a long road to travel.  God Bless UAB and the staff which have this down packed organized\nP.S. we were lost thought we New were we were but after a few minutes someone asked if we needed anything that's when we realized we were in the wrong building so when in doubt ask someone cause they are ready to help next visit will write something"", 'Fantastic experience here. It is a brand new section of the hospital that has been operating since August of 2025. It looks very high tech, like the hospital on the TV show ""House"" or ""Gray\'s Anatomy"". The view of Vulcan and Red Mountain is off the charts. Great job with the facility UAB.', 'I first met Tom during an emergency when immediate perfusion coverage was required. I was impressed by how seamlessly he integrated into the operating team under critical time pressure. He demonstrated sound clinical judgment, professionalism, and composure throughout. I would recommend Tom without reservation and look forward to working with him again.\n\n— Lamar K., MD\nUniversity Cardiac Surgeon, UAB', 'Went to Gardendale UAB last night. Everything was awesome accept the lady that asks for my ss #. She asked twice while I was trying to get my breath. She saw how bad I was. She was very, very rude!!', '1 of 1000 in each class and the area isn’t the safest but beyond all that post 911 users beware and stay away from here. I was not here longer than one semester before I transferred. They say post 911 covers everything which is true it literally every other school except here. At this school They have hidden charges and fees they don’t tell you about that apparently isn’t covered despite what you’d expect in your post 911 and instead of sending you a bill or talking to you about it they just send you to collections… ridiculous joke of a school there are way better schools online I suggest for post 911 users American military university or WGU!']"
University of Alabama in Huntsville,"['Great university to attend and gain knowledge and real world experience in the field of your choice. Beautiful campus with many parking. My cousin attended here and got her degree in Communications. She says the program (her professors) prepared her for workforce and made her learning experience a pleasant one. She credits her academic advisors for helping her with internships and job placement. I also remember her talking about how U of Alabama Huntsville helped her come out her shell to meet nice people from all backgrounds who have become lifelong friends. This a great university with rice history to find your true calling in the world. A+', 'This college is a hidden gem here in North Alabama. The area is beautiful. The campus is nice and clean everywhere. Constant construction and continued growth should be the norm for this campus for several years to come. My money and my kid goes to UAH. GO CHARGERS!!!!', ""The overall atmosphere is toxic among students and professors alike. There is favoritism, backstabbing, unhealthy competition, false accusations, cliquey behavior, and an overall sense of disgust for anyone who doesn't fit their culture. There is also a lot of discrimination. Don't expect title IX to protect you here. Also don't expect the ADA to protect you either. Stay far away."", ""Advising is horrible if your in engineering. Not very accommodating for students that focus better on a one on one meeting than back and forth emails that take buisness days to get back to. If the issue is too many students wants one on one advising, just hire more advisors, you're a big university, do better for your students and their future. We want guidance not more confusion on top of all our studies."", 'UAH has gone above and beyond for me when I needed help. I have loved all my professors and my advisor. As a nontraditional student, I was a little intimidated coming here from Calhoun, but I am so glad I chose UAH to finish my English degree. It’s a STEM-heavy school, yes, but don’t discount the College of Arts, Humanities, and Social Sciences—you will have a great support system over there if you choose to go that route. I am going to law school next year, and thanks to the people at UAH, they made that a possibility for me. I’m graduating in December and I will be a very proud alumni. Go Chargers 💙🐴']"
Alabama State University,"['I just went on campus to look at something. Not very easy to get out of there once you get in. Lots of their roads are blocked off. Looks nice though', 'I really enjoy visiting Montgomery, Alabama my daughter is a college student there as a parent. I get to walk around the campus and really take in all the accomplishments of the past and present future alumni’s. 🐝💅🏾 Alabama State University College', 'Football parking lots are prepaid through college website.   Individual game parking passes and yearly passes are available.', 'Went to ASU womens soccer game. It was senior day and they beat Alcorn St 4-0! My daughter will be a freshman on the team in the fall so many more trips in the near future LOL', 'The campus has changed alot. Excited to be back after 18 years.']"
The University of Alabama,"[""Beautiful campus full of people who genuinely wanted to be there. We visited the Engineering school and it's very impressive with a broad array of research labs and facilities for students clubs."", ""Beautiful campus. Grounds and buildings well maintained. We went into several different halls and such. Very nice spaces. While I wish we had caught his name, a professor from the Engineering school stopped by our table at the Furg - realizing we were there for student orientation, he asked if we had any questions.  He sure didn't have to, but really impressed me that he thought to spend a few minutes with us."", ""I have been to this campus twice now! I stayed at the on-campus hotel both times and the amenities were great. I also really appreciated all the signage on the campus. I'm a career readiness speaker and when I travel somewhere, I often don't know where to go. This campus has AWESOME signage!"", 'Absolutely appalled by the history tied to this institution.\nWhat happened with the syphilis experiments conducted in Alabama was one of the most inhumane, unethical acts ever done under the name of “research.” Human lives were treated as disposable, and the suffering of innocent people was ignored for decades. It’s shameful that such a tragedy was ever associated with a place of learning. A university should stand for truth, compassion, and ethics — not exploitation. The fact that this even happened is horrifying. Institutions involved in such acts should have been held fully accountable and permanently shut down.', 'The University of Alabama (UA), located in Tuscaloosa, is a prestigious public research university known for its strong academic programs, vibrant campus life, and storied traditions. Established in 1831, UA offers a wide range of undergraduate, graduate, and professional programs across disciplines such as business, engineering, law, education, and the sciences.']"
Central Alabama Community College,"['Played Pickleball and watched grandbabies.. The place was nice and clean. Very quiet..', 'Graduated in 2013 still in 2024 have not received my diploma (that I paid for) and I have tried to get it multiple times and was told ""well organizations will look at your transcripts anyway"". Very disorganized and most office workers aren\'t willing to do anything for you. My transcripts also got messed up somehow and now after 2 overseas deployments trying to go back to school has become a nightmare!!', ""Professors were amazing!! I'd give the professors a 5 star review if I could. The staff tried to be helpful, most the time, but they never answered their phone calls. I was mostly left on my own to figure out things. I also hated that the book store was online, and so was CACC's merch store, and you had to order within a certain timeframe. No  cafeteria, so I had to eat out all the time, which sucked after awhile. There was no social life at this community college, not even by a little. This college didn't have much to offer for me except passing basic courses. I wish this college had more of a social life, especially. I felt very lonely at this college, and no student deserves to feel that way in college."", 'This place shouldn\'t even be called a school. They have caused me so much suffering the last few years. I got a loan to go here, and it was a huge mistake. I\'m just now getting it paid off, even though I dropped out 6 months in. Im probably going to have to get a lawyer to get the rest on my money back. Half of my so called ""professors"" were extreamly rude, refused to help me with anything. Eventhough I was paying 500 dollars for the class I felt very unwelcome. The final straw is when I had a sprained ankle, and I pulled up next to the door, to literally go 30 feet to drop a paper off on a desk, in the 30 seconds of doing it, a fat rent a cop is flying across the parking lot, to cut me off, and illegally detain me and give me a ticket. Literally parked there for less then one minute. I could not deal with this usurpitation, it took everything I had not to break that punks neck.\n\nIf you are a young man or women, and you are unsure about what you should do in your life. Don\'t let people pressure you into going to college. Take a year or two off, and work if you need too. College cost a ridiculously large amount of money, because the government basically guarantees it to anyone who wants to go. Make sure you are on a path to a successful and fulfilling career. It took me 5 years in the real world to pay back a 5000 dollar loan. If you are going to college. You better be sure that you WILL be able to get a good job, making in excess of 36,000 a year, or you will not be able to afford you loan.\n\nThere are also much better colleges and trade schools you can go to. Dont waste your money on this place.', 'Very nice for a small college']"
Auburn University at Montgomery,"['At first AUM was a dream, as time went on it became so difficult to even feel welcomed there anymore. I have been harassed by many people there even after leaving campus almost two months ago. Not including how unorganized this campus is. The best thing about it are a handful of the professors. That’s about it. Housing is a nightmare, unorganized, you get who you get and usually can’t change it, and let’s not forget the RULES. You can have a married couple living together on campus but oh no once a engaged couple tries to it’s a problem, you can’t have opposite gender sleepovers, can’t smoke when you’re above the age, can’t drink if you have an underage roommate, when everyone breaks those rules if you’re not the best known person on campus it’s a living hell, let’s not forget if you have a problem with a roommate and you report it you’re immediately the problem 🤦🏻\u200d♀️ this campus is the worse Montgomery campus you could choose. I medically withdrew almost two months ago and am still being harassed by people on campus including campus police. Go anywhere but here folks. It’s not worth your mental health.', 'This a beautiful campus, student friendly, on campus housing, 1 to 15 instructor to student ratio, nationally ranked university with award winning sports, educational, and advanced degree programs beyond the traditional undergrad studies.', 'Alumni here. The education I received from AUM can rival any in the nation, if not the world! The campus upgrade is so beautiful with a walking trails, wellness center, & state of the art classrooms! I am so proud of MY AUM!', 'Took my son, who is a high school senior, for a campus tour. It was great! Well organized, informative, great staff presentation and participation.', 'Very well kept grounds. The inside facilities are also very nice and updated. The staff is quite helpful as well.']"
Auburn University,"[""We've never traveled to a place where we were treated so well and enjoyed it so much while following our Husker baseball team. True Southern hospitality."", 'Here for Iron Bowl Alabama v Auburn. Jordan-Hare stadium, it’s cashless pay for concessions, elevators to upper level for handicap, ADA parking at VCOM lot (free), free shuttle takes you near stadium and a short walk to stadium or handicapped carts take you to the entrance. Great atmosphere.', ""Good university, huge and quiet library with lots of windows and natural lights,\n\nkids working there are very helpful and friendly, people around area are generally Friendly Happy in real unique warm Southern style,\n\ndrivers generally are courtesy, nobody harass, stalk, nobody gets loud unnecessarily unless on football game days\n\nit can be super if it offers j.d. and or m.d.\n\n1 star takes away because:\nit's really difficult to find parking lot,\nand campus canteen is very dark, doesn't really have much food choice nor windows which can cause depression to students"", ""Had an excellent tour here. Beautiful campus with good opportunities for students. It just stinks that students have to pay for sporting events here, which you don't have to do at other schools. Excellent views and interesting information."", '""War Eagle""...\n\nLoved my time here in auburn. Enjoyed Friendly and Southern Hospitality. Best place and realized why it is \'The Loveliest place on the planet\'.\n\nBalanced life of study/research and football..:-)']"
Chattahoochee Valley Community College,"[""I've never had a worse time at an institution, from dealing with the worst nightmare of a website/ system to very unhelpful staff. I was unable to sign up for classes for seriously like three months. They said IT would help, & they really had me going in circles. I do not recommend."", ""just graduated here. amazing and helpful staff, simple building layout, courses weren't so bad. i've learned a lot and i truly miss it here very much.\n\nCVCC Alumni 2022-2024"", 'a dude with this wrap on his truck pulled out in front of me.', ""I am currently enrolled in cvcc. I am loving the experience! Enjoying the classes and learning a lot. I would recommend this school for anyone seeking an associate's degree. Also, my son attended a few years ago before transferring to a four-year school. His experience was also good."", 'Excellent EMS program! The instructors are down to earth and excellent in teaching the material to pass the National Certifications. Federal Financial Aid paid for the program. Received EMT, Advanced EMT, CPR, Emergency Vehicle Operator Course, FEMA, and Traffic Incident Management certifications, all in one program.']"
South University-Montgomery,"['The staff at South University Montgomery campus are nothing short of amazing, they are so kind and always looking for a way to help the students. When my grandma passed they sent me a card with well wishes and it was really  the sweetest thing ever. I’m so sad I have to go. They are so patient and supportive, I would definitely recommend this campus to any aspiring students out there who’s looking for a community who cares about your education just as much as you.', ""There is a high turnover rate with the staff so it seems as if the academic advisors and teachers are always changing. Furthermore,  financial aide staff is not helpful. They are not knowledgeable about any topics. The supervisor is rude and only has one person working under her who doesn't know much. The classes are good though and aren't too big which allows for more one on one instruction. If they had better staff working in Financial aide then I would give them 4 stars."", ""Absolutely loved SUM and all of the staff and teachers I had the pleasure of working with! Got my bachelor's in business and was successful due to all of the one on one assistance and encouragement I received! Though expensive, I highly recommend them, especially for older adults who are looking for a small classroom setting. Veteran and financial aid assistance is also available..."", ""The main reason I attended this college was because with my major (criminal justice), an internship was included in the program. I was looking forward to having some hands-on experience & possibly a foot in the door. Unfortunately, they weren't giving internships at the time not long before I graduated. If I'd known that, I never would've attended this expensive school!"", 'This is the worst school that I\'ve attended. During the first quarter in nursing school, I had a teacher that didn\'t teach us anything! The whole class thought that she just didn\'t care because at the end of the school quarter, she left. There were only two great instructors in the whole nursing program and they left. The staff members in the office always said that we were welcomed to come talk to them about anything  but we (my cohort) didn\'t know who to trust. After exams, our grades would get out to other cohorts by an instructor that wasn\'t even teaching the class. I had a situation that I couldn\'t help and I was told that I couldn\'t attend clinical for that day and to write a 10 page paper while several of the others got away with it. When I had a meeting about it, the program director went off subject and started looking at my past grades and said that he was doing that to everyone. That was a lie. He came off very prejudiced to me. I saw another review saying and that he talked down on students and I agree 100%. He\'s racist. I was told by an instructor to my face that the people in the office were trying to get people like me (""Black"") out of the program and I believed her. I also had another problem on an exam about which race of people were more likely to get sickle cell. The instructor said with me being ""black"", I should have gotten that question correct. It was very offensive. Racist! The staff is very unprofessional and nothing is kept confidential. Teachers were changing answers on exams and they chose who they wanted to let through in the program. Policy requires students to get full clinical hours in order to graduate. False! People graduated without full clinical hours. People even got by with being late to several clinicals. The dean of the school isn\'t any help. The staff sticks together. They don\'t care about the students. They only care about the money and sticking together. Tuition is very expensive so I wouldn\'t waste my time or money. Trust the reviews that you read because I wished I would have. I would have never attended this school. Like I said, they pick and choose who they let through. Everyone is not treated equally. People don\'t know the half of everything you have to deal with in the nursing program. They (staff) always get defensive when you speak up and try to tell them how you feel about certain things in the program. If you do decide to go to this school, RECORD meetings and everything for proof. It\'s sad to say that you have to do that, but just giving you all a warning. If there is a problem that needs to be resolved, speak up as a CLASS. Don\'t leave anyone hanging. People were scared to speak on things because they knew how the staff was and thought that they would do something sneaky. I wrote this review because several people have asked me about this school, so here you go.']"
