Unnamed: 0,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
0,27153.0,10024.0,18634.0,420.0,390.0,530.0,510.0,938.0,14.0,19.0,18.0,Alabama A & M University,Predominantly bachelor's-degree,Graduate
1,28145.0,9098.0,22562.0,600.0,610.0,710.0,740.0,1258.0,23.0,30.0,27.0,University of Alabama at Birmingham,Predominantly bachelor's-degree,Graduate
3,27392.0,12132.0,26408.0,600.0,610.0,690.0,720.0,1319.0,24.0,31.0,28.0,University of Alabama in Huntsville,Predominantly bachelor's-degree,Graduate
4,23586.0,11248.0,19576.0,399.0,350.0,505.0,462.0,976.0,15.0,20.0,18.0,Alabama State University,Predominantly bachelor's-degree,Graduate
5,33382.0,12180.0,34172.0,590.0,580.0,690.0,710.0,1285.0,24.0,31.0,26.0,The University of Alabama,Predominantly bachelor's-degree,Graduate
6,21413.0,5110.0,8980.0,,,,,,,,,Central Alabama Community College,Predominantly certificate-degree,Associate's
8,21353.0,9700.0,20668.0,538.0,498.0,603.0,600.0,1093.0,18.0,24.0,21.0,Auburn University at Montgomery,Predominantly bachelor's-degree,Graduate
9,34919.0,12890.0,34922.0,630.0,630.0,690.0,700.0,1345.0,26.0,31.0,,Auburn University,Predominantly bachelor's-degree,Graduate
10,12600.0,5100.0,8970.0,,,,,,,,,Chattahoochee Valley Community College,Predominantly certificate-degree,Associate's
11,34793.0,18145.0,18145.0,,,,,,,,,South University-Montgomery,Predominantly bachelor's-degree,Graduate
12,19956.0,5100.0,8970.0,,,,,,,,,Enterprise State Community College,Predominantly certificate-degree,Associate's
13,20605.0,5040.0,8910.0,,,,,,,,,Coastal Alabama Community College,Predominantly associate's-degree,Associate's
14,37626.0,23920.0,23920.0,,,,,1020.0,18.0,21.0,20.0,Faulkner University,Predominantly bachelor's-degree,Graduate
15,10189.0,4272.0,7368.0,,,,,,,,,Gadsden State Community College,Predominantly certificate-degree,Associate's
17,9308.0,4980.0,8850.0,,,,,,,,,George C Wallace Community College-Dothan,Predominantly certificate-degree,Associate's
18,19008.0,5220.0,9090.0,,,,,,,,,George C Wallace State Community College-Hanceville,Predominantly certificate-degree,Associate's
19,19175.0,4740.0,8610.0,,,,,,,,,George C Wallace State Community College-Selma,Predominantly associate's-degree,Associate's
20,27750.0,13450.0,13450.0,,,,,,,,,Herzing University-Birmingham,Predominantly certificate-degree,Graduate
21,40908.0,29070.0,29070.0,533.0,473.0,610.0,610.0,1142.0,20.0,25.0,22.0,Huntingdon College,Predominantly bachelor's-degree,Bachelor's
22,20909.0,11982.0,11982.0,,,,,1020.0,18.0,19.0,,Heritage Christian University,Predominantly bachelor's-degree,Graduate
23,14456.0,5190.0,9060.0,,,,,,,,,J. F. Drake State Community and Technical College,Predominantly certificate-degree,Associate's
25,24257.0,12894.0,23334.0,500.0,500.0,630.0,660.0,1059.0,17.0,24.0,20.0,Jacksonville State University,Predominantly bachelor's-degree,Graduate
26,14814.0,5100.0,8970.0,,,,,,,,,Jefferson State Community College,Predominantly associate's-degree,Associate's
27,13073.0,5120.0,8990.0,,,,,,,,,John C Calhoun State Community College,Predominantly certificate-degree,Associate's
28,14895.0,5040.0,8910.0,,,,,,,,,Lawson State Community College,Predominantly associate's-degree,Associate's
29,22758.0,10990.0,20090.0,440.0,420.0,560.0,560.0,1015.0,16.0,21.0,19.0,University of West Alabama,Predominantly bachelor's-degree,Graduate
30,12392.0,5190.0,9060.0,,,,,,,,,Lurleen B Wallace Community College,Predominantly certificate-degree,Associate's
31,18743.0,9538.0,15538.0,520.0,520.0,640.0,630.0,1068.0,16.0,23.0,22.0,Marion Military Institute,Predominantly associate's-degree,Associate's
32,21154.0,13314.0,13314.0,,,,,,,,,Miles College,Predominantly bachelor's-degree,Bachelor's
33,41115.0,26910.0,26910.0,,,,,1220.0,22.0,28.0,,University of Mobile,Predominantly bachelor's-degree,Graduate
34,27398.0,13948.0,26968.0,,,,,,,,23.0,University of Montevallo,Predominantly bachelor's-degree,Graduate
35,11340.0,5131.0,9001.0,,,,,,,,,Northwest Shoals Community College,Predominantly certificate-degree,Associate's
36,23786.0,12120.0,22320.0,,,,,,,,,University of North Alabama,Predominantly bachelor's-degree,Graduate
37,11620.0,5040.0,8910.0,,,,,,,,,Northeast Alabama Community College,Predominantly certificate-degree,Associate's
38,40176.0,22512.0,22512.0,,,,,,,,,Oakwood University,Predominantly bachelor's-degree,Graduate
39,10739.0,5454.0,9324.0,,,,,,,,,Reid State Technical College,Predominantly certificate-degree,Associate's
40,13085.0,5340.0,9210.0,,,,,,,,,Bishop State Community College,Predominantly certificate-degree,Associate's
41,57456.0,40150.0,40150.0,550.0,520.0,640.0,610.0,1201.0,22.0,28.0,26.0,Samford University,Predominantly bachelor's-degree,Graduate
43,20350.0,5127.0,8997.0,,,,,,,,,Shelton State Community College,Predominantly certificate-degree,Associate's
44,11220.0,5278.0,9664.0,,,,,,,,,Snead State Community College,Predominantly certificate-degree,Associate's
45,25476.0,10116.0,19092.0,500.0,470.0,610.0,580.0,1147.0,20.0,26.0,23.0,University of South Alabama,Predominantly bachelor's-degree,Graduate
46,39936.0,24054.0,24054.0,,,,,1120.0,17.0,29.0,19.0,Spring Hill College,Predominantly bachelor's-degree,Graduate
47,26107.0,12126.0,12126.0,,,,,,,,,Stillman College,Predominantly bachelor's-degree,Bachelor's
48,25185.0,15650.0,15650.0,,,,,,,,,Talladega College,Predominantly bachelor's-degree,Graduate
49,16971.0,5190.0,9060.0,,,,,,,,,H Councill Trenholm State Community College,Predominantly certificate-degree,Associate's
50,23165.0,10176.0,20352.0,490.0,450.0,620.0,590.0,1088.0,18.0,25.0,21.0,Troy University,Predominantly bachelor's-degree,Graduate
51,43454.0,25386.0,25386.0,,,,,1120.0,18.0,25.0,22.0,Tuskegee University,Predominantly bachelor's-degree,Graduate
52,32606.0,13800.0,13800.0,,,,,,,,,United States Sports University,Predominantly bachelor's-degree,Graduate
53,13827.0,4734.0,8346.0,,,,,,,,,Bevill State Community College,Predominantly certificate-degree,Associate's
54,24096.0,7738.0,21322.0,,,,,,,,,University of Alaska Anchorage,Predominantly bachelor's-degree,Graduate
55,28903.0,9730.0,9730.0,,,,,,,,,Alaska Bible College,Predominantly bachelor's-degree,Bachelor's
56,22407.0,8736.0,22320.0,,,,,,,,22.0,University of Alaska Fairbanks,Predominantly bachelor's-degree,Graduate
57,21043.0,7056.0,20640.0,,,,,,,,,University of Alaska Southeast,Predominantly certificate-degree,Graduate
58,34026.0,20760.0,20760.0,,,,,,,,,Alaska Pacific University,Predominantly certificate-degree,Graduate
60,41344.0,18375.0,18375.0,,,,,,,,,Charter College,Predominantly certificate-degree,Bachelor's
69,30111.0,12223.0,33139.0,,,,,,,,,Arizona State University Campus Immersion,Predominantly bachelor's-degree,Graduate
70,15868.0,3060.0,9870.0,,,,,,,,,Arizona Western College,Predominantly certificate-degree,Associate's
71,29423.0,13926.0,42278.0,580.0,570.0,700.0,720.0,1246.0,21.0,29.0,25.0,University of Arizona,Predominantly bachelor's-degree,Graduate
72,10720.0,2250.0,4500.0,,,,,,,,,Central Arizona College,Predominantly certificate-degree,Associate's
74,14342.0,2280.0,6120.0,,,,,,,,,Cochise County Community College District,Predominantly associate's-degree,Associate's
77,16696.0,2352.0,9552.0,,,,,,,,,Eastern Arizona College,Predominantly certificate-degree,Associate's
78,62798.0,44149.0,44149.0,580.0,560.0,680.0,690.0,1250.0,24.0,29.0,26.0,Embry-Riddle Aeronautical University-Prescott,Predominantly bachelor's-degree,Graduate
80,18037.0,2358.0,8958.0,,,,,,,,,Glendale Community College,Predominantly certificate-degree,Associate's
81,32702.0,17850.0,17850.0,518.0,488.0,580.0,533.0,1077.0,20.0,22.0,,Grand Canyon University,Predominantly bachelor's-degree,Graduate
82,19314.0,2358.0,8958.0,,,,,,,,,GateWay Community College,Predominantly certificate-degree,Associate's
83,18194.0,2358.0,8958.0,,,,,,,,,Mesa Community College,Predominantly certificate-degree,Associate's
84,11837.0,2208.0,7968.0,,,,,,,,,Mohave Community College,Predominantly certificate-degree,Associate's
86,11923.0,1410.0,1410.0,,,,,,,,,Dine College,Predominantly associate's-degree,Bachelor's
87,29933.0,13009.0,29881.0,,,,,,,,,Northern Arizona University,Predominantly bachelor's-degree,Graduate
88,14263.0,2232.0,10320.0,,,,,,,,,Northland Pioneer College,Predominantly certificate-degree,Associate's
89,18594.0,2358.0,8958.0,,,,,,,,,Phoenix College,Predominantly certificate-degree,Associate's
90,9851.0,2442.0,7758.0,,,,,,,,,Pima Community College,Predominantly certificate-degree,Associate's
93,48532.0,35685.0,35685.0,,,,,,,,,Prescott College,Predominantly bachelor's-degree,Graduate
95,13425.0,2358.0,8958.0,,,,,,,,,Rio Salado College,Predominantly certificate-degree,Associate's
97,19281.0,2358.0,8958.0,,,,,,,,,Scottsdale Community College,Predominantly certificate-degree,Associate's
98,18898.0,2358.0,8958.0,,,,,,,,,South Mountain Community College,Predominantly certificate-degree,Associate's
99,54792.0,35098.0,35098.0,,,,,,,,20.0,Arizona Christian University,Predominantly bachelor's-degree,Bachelor's
101,14988.0,2948.0,9486.0,,,,,,,,,Yavapai College,Predominantly certificate-degree,Associate's
102,22519.0,9748.0,22158.0,490.0,470.0,630.0,580.0,1049.0,17.0,24.0,22.0,University of Arkansas at Little Rock,Predominantly bachelor's-degree,Graduate
104,23060.0,8760.0,8760.0,,,,,,,,,Arkansas Baptist College,Predominantly bachelor's-degree,Bachelor's
107,44978.0,31000.0,31000.0,,,,,,,,24.0,Lyon College,Predominantly bachelor's-degree,Bachelor's
109,27767.0,10104.0,29966.0,520.0,510.0,620.0,600.0,1169.0,21.0,28.0,25.0,University of Arkansas,Predominantly bachelor's-degree,Graduate
110,21129.0,9412.0,17992.0,425.0,420.0,570.0,538.0,922.0,14.0,18.0,16.0,University of Arkansas at Pine Bluff,Predominantly bachelor's-degree,Graduate
111,18771.0,3336.0,5232.0,,,,,,,,,Arkansas State University-Beebe,Predominantly associate's-degree,Associate's
112,25082.0,8090.0,14522.0,490.0,480.0,570.0,620.0,1090.0,18.0,24.0,23.0,Arkansas State University,Predominantly bachelor's-degree,Graduate
113,22808.0,8674.0,14668.0,450.0,430.0,550.0,550.0,1049.0,17.0,23.0,,Arkansas Tech University,Predominantly associate's-degree,Graduate
114,22519.0,9292.0,14857.0,,,,,,,,,University of Arkansas at Monticello,Predominantly certificate-degree,Graduate
116,31961.0,13987.0,13987.0,,,,,,,,,Baptist Health College Little Rock,Predominantly associate's-degree,Associate's
117,14374.0,4776.0,7488.0,,,,,,,,,Black River Technical College,Predominantly certificate-degree,Associate's
118,25029.0,10523.0,18023.0,480.0,430.0,590.0,580.0,1118.0,19.0,25.0,23.0,University of Central Arkansas,Predominantly bachelor's-degree,Graduate
119,30605.0,21330.0,21330.0,473.0,410.0,553.0,568.0,1046.0,17.0,23.0,21.0,Central Baptist College,Predominantly bachelor's-degree,Bachelor's
120,11538.0,4200.0,5070.0,,,,,,,,,Cossatot Community College of the University of Arkansas,Predominantly certificate-degree,Associate's
121,27340.0,16670.0,16670.0,,,,,,,,,Crowley's Ridge College,Predominantly bachelor's-degree,Bachelor's
122,13240.0,3300.0,4380.0,,,,,,,,,East Arkansas Community College,Predominantly certificate-degree,Associate's
124,19331.0,5600.0,7280.0,,,,,,,,,National Park College,Predominantly certificate-degree,Associate's
125,15808.0,3630.0,4662.0,,,,,,,,,University of Arkansas Community College-Batesville,Predominantly certificate-degree,Associate's
