merge_key,name,times_scores_citations,the_score,qs_score,teaching,subjects_offered,nid,aliases,international_students,disabled,city,year,unaccredited,size,students_to_staff_ratio,research_quality,female_to_male_ratio,country,international_outlook,research_environment,industry_impact,region,closed,acronym,student_population,type,research_output,overall_score
universityofoxford,University of Oxford,99.0,98.21,99.5,97.2,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",468.0,University of Oxford,43%,False,Oxford,2026.0,False,L,10.4,97.7,52 : 48,United Kingdom,96.4,100.0,99.9,Europe,False,,"22,005",Public,Very High,167.989
massachusettsinstituteoftechnology,Massachusetts Institute of Technology,99.7,97.6735,100.0,99.2,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",471.0,Massachusetts Institute of Technology,33%,False,Cambridge,2026.0,False,M,7.7,99.6,43 : 57,United States,91.9,95.3,100.0,North America,False,,"11,703",Private,Very High,167.90615000000003
universityofcambridge,University of Cambridge,98.0,97.2065,98.7,96.2,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",470.0,University of Cambridge,38%,False,Cambridge,2026.0,False,L,11.3,97.1,50 : 50,United Kingdom,96.3,99.9,87.6,Europe,False,,"21,045",Public,Very high,166.44585
stanforduniversity,Stanford University,99.6,97.151,98.7,97.5,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",467.0,Stanford University,25%,False,Stanford,2026.0,False,L,5.9,99.5,48 : 52,United States,83.9,97.4,100.0,North America,False,,"17,422",Private,Very High,166.3959
harvarduniversity,Harvard University,99.4,97.051,98.0,95.9,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",466.0,Harvard University,27%,False,Cambridge,2026.0,False,L,10.1,98.9,53 : 47,United States,88.3,100.0,86.7,North America,False,,"22,680",Private,Very High,165.7459
californiainstituteoftechnology,California Institute of Technology,95.9,96.3165,97.4,96.4,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",128779.0,California Institute of Technology caltech,33%,False,Pasadena,2026.0,False,S,6.7,96.8,39 : 61,United States,87.9,97.4,100.0,North America,False,,"2,401",Private,Very High,164.60485000000003
imperialcollegelondon,Imperial College London,98.6,94.689,97.3,90.6,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",472.0,Imperial College London,60%,False,London,2026.0,False,L,12.1,98.0,43 : 57,United Kingdom,98.2,94.9,91.9,Europe,False,,"21,340",Public,Very High,163.0601
princetonuniversity,Princeton University,98.8,97.211,88.6,98.2,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",469.0,Princeton University,23%,False,Princeton,2026.0,False,M,8.2,99.0,47 : 53,United States,85.4,97.3,98.0,North America,False,,"8,739",Private,Very High,158.3699
yaleuniversity,Yale University,97.7,94.081,90.2,94.6,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",475.0,Yale University,24%,False,New Haven,2026.0,False,M,6.2,97.2,53 : 47,United States,81.4,94.5,87.6,North America,False,,"14,884",Private,Very High,156.8329
nationaluniversityofsingapore,National University of Singapore,95.4,89.67199999999998,93.9,78.6,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,History, Philosophy & Theology,Civil Engineering,Geography,Archaeology,Sociology,Mechanical & Aerospace Engineering,Biological Sciences,Accounting & Finance,Architecture,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Law,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies",504.0,National University of Singapore nus,31%,False,Singapore,2026.0,False,XL,21.0,95.1,49 : 51,Singapore,92.8,93.1,99.9,Asia,False,,"35,558",Public,Very High,155.82479999999998
