latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
27153.0,10024.0,18634.0,420.0,390.0,530.0,510.0,938.0,14.0,19.0,18.0,Alabama A & M University,Bachelor,Graduate
28145.0,9098.0,22562.0,600.0,610.0,710.0,740.0,1258.0,23.0,30.0,27.0,University of Alabama at Birmingham,Bachelor,Graduate
27392.0,12132.0,26408.0,600.0,610.0,690.0,720.0,1319.0,24.0,31.0,28.0,University of Alabama in Huntsville,Bachelor,Graduate
23586.0,11248.0,19576.0,399.0,350.0,505.0,462.0,976.0,15.0,20.0,18.0,Alabama State University,Bachelor,Graduate
33382.0,12180.0,34172.0,590.0,580.0,690.0,710.0,1285.0,24.0,31.0,26.0,The University of Alabama,Bachelor,Graduate
21413.0,5110.0,8980.0,,,,,,,,,Central Alabama Community College,Certificate,Associate
21353.0,9700.0,20668.0,538.0,498.0,603.0,600.0,1093.0,18.0,24.0,21.0,Auburn University at Montgomery,Bachelor,Graduate
34919.0,12890.0,34922.0,630.0,630.0,690.0,700.0,1345.0,26.0,31.0,,Auburn University,Bachelor,Graduate
12600.0,5100.0,8970.0,,,,,,,,,Chattahoochee Valley Community College,Certificate,Associate
34793.0,18145.0,18145.0,,,,,,,,,South University-Montgomery,Bachelor,Graduate
19956.0,5100.0,8970.0,,,,,,,,,Enterprise State Community College,Certificate,Associate
20605.0,5040.0,8910.0,,,,,,,,,Coastal Alabama Community College,Associate,Associate
37626.0,23920.0,23920.0,,,,,1020.0,18.0,21.0,20.0,Faulkner University,Bachelor,Graduate
10189.0,4272.0,7368.0,,,,,,,,,Gadsden State Community College,Certificate,Associate
9308.0,4980.0,8850.0,,,,,,,,,George C Wallace Community College-Dothan,Certificate,Associate
19008.0,5220.0,9090.0,,,,,,,,,George C Wallace State Community College-Hanceville,Certificate,Associate
19175.0,4740.0,8610.0,,,,,,,,,George C Wallace State Community College-Selma,Associate,Associate
27750.0,13450.0,13450.0,,,,,,,,,Herzing University-Birmingham,Certificate,Graduate
40908.0,29070.0,29070.0,533.0,473.0,610.0,610.0,1142.0,20.0,25.0,22.0,Huntingdon College,Bachelor,Bachelor
20909.0,11982.0,11982.0,,,,,1020.0,18.0,19.0,,Heritage Christian University,Bachelor,Graduate
14456.0,5190.0,9060.0,,,,,,,,,J. F. Drake State Community and Technical College,Certificate,Associate
24257.0,12894.0,23334.0,500.0,500.0,630.0,660.0,1059.0,17.0,24.0,20.0,Jacksonville State University,Bachelor,Graduate
14814.0,5100.0,8970.0,,,,,,,,,Jefferson State Community College,Associate,Associate
13073.0,5120.0,8990.0,,,,,,,,,John C Calhoun State Community College,Certificate,Associate
14895.0,5040.0,8910.0,,,,,,,,,Lawson State Community College,Associate,Associate
22758.0,10990.0,20090.0,440.0,420.0,560.0,560.0,1015.0,16.0,21.0,19.0,University of West Alabama,Bachelor,Graduate
12392.0,5190.0,9060.0,,,,,,,,,Lurleen B Wallace Community College,Certificate,Associate
18743.0,9538.0,15538.0,520.0,520.0,640.0,630.0,1068.0,16.0,23.0,22.0,Marion Military Institute,Associate,Associate
21154.0,13314.0,13314.0,,,,,,,,,Miles College,Bachelor,Bachelor
41115.0,26910.0,26910.0,,,,,1220.0,22.0,28.0,,University of Mobile,Bachelor,Graduate
27398.0,13948.0,26968.0,,,,,,,,23.0,University of Montevallo,Bachelor,Graduate
11340.0,5131.0,9001.0,,,,,,,,,Northwest Shoals Community College,Certificate,Associate
